test2.
Service Registrar: c80e567e-4c46-4a64-8478-22184e4bcd5c
Java Space found.
TransactionManager found.
-------------------------last log tuples start--------------------------------
Time [clock=421, time=2013-06-13 12:32:51.213]
Time [clock=422, time=2013-06-13 12:32:52.212]
Time [clock=423, time=2013-06-13 12:32:53.213]
Time [clock=424, time=2013-06-13 12:32:54.213]
Time [clock=425, time=2013-06-13 12:32:55.215]
Time [clock=426, time=2013-06-13 12:32:56.215]
Time [clock=427, time=2013-06-13 12:32:57.216]
Time [clock=428, time=2013-06-13 12:32:58.217]
Position [agent=a3, id=null, cell=Cell [x=11, y=7], time=2013-06-13 12:30:26.852, clock=276]
Time [clock=429, time=2013-06-13 12:32:59.218]
Position [agent=a1, id=null, cell=Cell [x=5, y=8], time=2013-06-13 12:30:27.113, clock=276]
Time [clock=430, time=2013-06-13 12:33:00.219]
Time [clock=431, time=2013-06-13 12:33:01.219]
Time [clock=432, time=2013-06-13 12:33:02.219]
Time [clock=433, time=2013-06-13 12:33:03.22]
Time [clock=434, time=2013-06-13 12:33:04.263]
Time [clock=435, time=2013-06-13 12:33:05.224]
Time [clock=436, time=2013-06-13 12:33:06.223]
Position [agent=a2, id=null, cell=Cell [x=3, y=18], time=2013-06-13 12:30:27.532, clock=277]
Time [clock=437, time=2013-06-13 12:33:07.224]
Time [clock=438, time=2013-06-13 12:33:08.226]
Time [clock=439, time=2013-06-13 12:33:09.227]
Time [clock=440, time=2013-06-13 12:33:10.228]
Time [clock=441, time=2013-06-13 12:33:11.228]
Time [clock=442, time=2013-06-13 12:33:12.23]
Time [clock=443, time=2013-06-13 12:33:13.232]
Time [clock=444, time=2013-06-13 12:33:14.231]
Time [clock=445, time=2013-06-13 12:33:15.231]
Position [agent=a1, id=null, cell=Cell [x=5, y=9], time=2013-06-13 12:30:27.766, clock=277]
Time [clock=446, time=2013-06-13 12:33:16.232]
Time [clock=447, time=2013-06-13 12:33:17.233]
Time [clock=448, time=2013-06-13 12:33:18.233]
Time [clock=449, time=2013-06-13 12:33:19.233]
Time [clock=450, time=2013-06-13 12:33:20.276]
Time [clock=451, time=2013-06-13 12:33:21.236]
Position [agent=a3, id=null, cell=Cell [x=11, y=8], time=2013-06-13 12:30:28.244, clock=277]
Time [clock=452, time=2013-06-13 12:33:22.237]
Time [clock=453, time=2013-06-13 12:33:23.238]
Time [clock=454, time=2013-06-13 12:33:24.239]
Time [clock=455, time=2013-06-13 12:33:25.239]
Time [clock=456, time=2013-06-13 12:33:26.24]
Time [clock=457, time=2013-06-13 12:33:27.241]
Time [clock=458, time=2013-06-13 12:33:28.241]
Time [clock=459, time=2013-06-13 12:33:29.243]
Time [clock=460, time=2013-06-13 12:33:30.244]
Time [clock=461, time=2013-06-13 12:33:31.245]
Time [clock=462, time=2013-06-13 12:33:32.247]
Time [clock=463, time=2013-06-13 12:33:33.247]
Time [clock=464, time=2013-06-13 12:33:34.248]
Time [clock=465, time=2013-06-13 12:33:35.289]
Time [clock=466, time=2013-06-13 12:33:36.253]
Time [clock=467, time=2013-06-13 12:33:37.251]
Time [clock=468, time=2013-06-13 12:33:38.251]
Time [clock=469, time=2013-06-13 12:33:39.252]
Time [clock=470, time=2013-06-13 12:33:40.255]
Time [clock=471, time=2013-06-13 12:33:41.255]
Time [clock=472, time=2013-06-13 12:33:42.256]
Time [clock=473, time=2013-06-13 12:33:43.257]
Time [clock=474, time=2013-06-13 12:33:44.257]
Time [clock=475, time=2013-06-13 12:33:45.256]
Time [clock=476, time=2013-06-13 12:33:46.258]
Time [clock=477, time=2013-06-13 12:33:47.259]
Time [clock=478, time=2013-06-13 12:33:48.26]
Time [clock=479, time=2013-06-13 12:33:49.261]
Time [clock=480, time=2013-06-13 12:33:50.261]
Position [agent=a1, id=null, cell=Cell [x=5, y=10], time=2013-06-13 12:30:28.685, clock=278]
Time [clock=481, time=2013-06-13 12:33:51.303]
Time [clock=482, time=2013-06-13 12:33:52.265]
Time [clock=483, time=2013-06-13 12:33:53.264]
Time [clock=484, time=2013-06-13 12:33:54.268]
Time [clock=485, time=2013-06-13 12:33:55.265]
Time [clock=486, time=2013-06-13 12:33:56.268]
Position [agent=a2, id=null, cell=Cell [x=3, y=17], time=2013-06-13 12:30:28.944, clock=278]
Time [clock=487, time=2013-06-13 12:33:57.269]
Position [agent=a1, id=null, cell=Cell [x=6, y=10], time=2013-06-13 12:30:29.185, clock=278]
Time [clock=488, time=2013-06-13 12:33:58.269]
Time [clock=489, time=2013-06-13 12:33:59.271]
Time [clock=490, time=2013-06-13 12:34:00.271]
Time [clock=491, time=2013-06-13 12:34:01.273]
Time [clock=492, time=2013-06-13 12:34:02.273]
Position [agent=a3, id=null, cell=Cell [x=11, y=9], time=2013-06-13 12:30:29.448, clock=279]
Time [clock=493, time=2013-06-13 12:34:03.274]
Time [clock=494, time=2013-06-13 12:34:04.276]
Time [clock=495, time=2013-06-13 12:34:05.275]
Position [agent=a1, id=null, cell=Cell [x=7, y=10], time=2013-06-13 12:30:29.933, clock=279]
Time [clock=496, time=2013-06-13 12:34:06.278]
Time [clock=497, time=2013-06-13 12:34:07.321]
Time [clock=498, time=2013-06-13 12:34:08.281]
Time [clock=499, time=2013-06-13 12:34:09.281]
Time [clock=500, time=2013-06-13 12:34:10.281]
Position [agent=a2, id=null, cell=Cell [x=3, y=16], time=2013-06-13 12:30:30.184, clock=279]
Time [clock=501, time=2013-06-13 12:34:11.282]
Time [clock=502, time=2013-06-13 12:34:12.283]
Time [clock=503, time=2013-06-13 12:34:13.284]
Position [agent=a3, id=null, cell=Cell [x=11, y=10], time=2013-06-13 12:30:30.41, clock=280]
Time [clock=504, time=2013-06-13 12:34:14.285]
Time [clock=505, time=2013-06-13 12:34:15.287]
Time [clock=506, time=2013-06-13 12:34:16.287]
Position [agent=a3, id=null, cell=Cell [x=11, y=11], time=2013-06-13 12:30:30.908, clock=280]
Time [clock=507, time=2013-06-13 12:34:17.289]
Time [clock=508, time=2013-06-13 12:34:18.29]
Time [clock=509, time=2013-06-13 12:34:19.291]
Time [clock=510, time=2013-06-13 12:34:20.292]
Time [clock=511, time=2013-06-13 12:34:21.292]
Time [clock=512, time=2013-06-13 12:34:22.291]
Time [clock=513, time=2013-06-13 12:34:23.334]
Time [clock=514, time=2013-06-13 12:34:24.295]
Time [clock=515, time=2013-06-13 12:34:25.295]
Position [agent=a2, id=null, cell=Cell [x=3, y=15], time=2013-06-13 12:30:31.183, clock=280]
Time [clock=516, time=2013-06-13 12:34:26.296]
Time [clock=517, time=2013-06-13 12:34:27.297]
Time [clock=518, time=2013-06-13 12:34:28.297]
Time [clock=519, time=2013-06-13 12:34:29.298]
Time [clock=520, time=2013-06-13 12:34:30.301]
Time [clock=521, time=2013-06-13 12:34:31.301]
Time [clock=522, time=2013-06-13 12:34:32.309]
Prohibition [agent=t1, prohibition=[at(5, 5, t1)], sanction=[reduce_300(t1)], clock=0, time=2013-06-13 12:30:27.163]
ActionRequest [id=null, agent=a2, type=reading, cell=Cell [x=8, y=19], clock=0, time=2013-06-13 12:30:19.789]
ActionRequest [id=null, agent=a3, type=reading, cell=Cell [x=11, y=1], clock=0, time=2013-06-13 12:30:19.79]
ActionRequest [id=null, agent=a1, type=reading, cell=Cell [x=5, y=5], clock=0, time=2013-06-13 12:30:24.1]
Prohibition [agent=t1, prohibition=[at(5, 6, t1)], sanction=[reduce_300(t1)], clock=0, time=2013-06-13 12:30:27.165]
Position [agent=a1, id=null, cell=Cell [x=8, y=10], time=2013-06-13 12:30:31.455, clock=281]
Prohibition [agent=t1, prohibition=[at(6, 5, t1)], sanction=[reduce_300(t1)], clock=0, time=2013-06-13 12:30:27.167]
Prohibition [agent=t1, prohibition=[at(6, 6, t1)], sanction=[reduce_300(t1)], clock=0, time=2013-06-13 12:30:27.168]
Position [agent=a2, id=null, cell=Cell [x=3, y=14], time=2013-06-13 12:30:31.687, clock=281]
Position [agent=a3, id=null, cell=Cell [x=11, y=12], time=2013-06-13 12:30:31.949, clock=281]
Position [agent=a2, id=null, cell=Cell [x=3, y=13], time=2013-06-13 12:30:32.421, clock=282]
Position [agent=a1, id=null, cell=Cell [x=9, y=10], time=2013-06-13 12:30:32.676, clock=282]
Position [agent=a2, id=null, cell=Cell [x=3, y=12], time=2013-06-13 12:30:32.906, clock=282]
Reading [id=null, agent=a2, cell=Cell [x=8, y=19], time=2013-06-13 12:30:20.099, value=0.0, clock=0]
Position [agent=a3, id=null, cell=Cell [x=11, y=13], time=2013-06-13 12:30:33.15, clock=282]
Position [agent=a2, id=null, cell=Cell [x=3, y=11], time=2013-06-13 12:30:33.598, clock=283]
Reading [id=null, agent=a3, cell=Cell [x=11, y=1], time=2013-06-13 12:30:20.334, value=0.0, clock=0]
Position [agent=a1, id=null, cell=Cell [x=10, y=10], time=2013-06-13 12:30:33.878, clock=283]
Reading [id=null, agent=a1, cell=Cell [x=5, y=5], time=2013-06-13 12:30:24.952, value=0.0, clock=0]
Prohibition [agent=c1, prohibition=[coin(5, 5, a1)], sanction=[reduce_300(c1)], clock=0, time=2013-06-13 12:30:27.827]
Prohibition [agent=c1, prohibition=[coin(5, 6, a1)], sanction=[reduce_300(c1)], clock=0, time=2013-06-13 12:30:27.83]
Position [agent=a2, id=null, cell=Cell [x=3, y=10], time=2013-06-13 12:30:34.191, clock=283]
Prohibition [agent=c1, prohibition=[coin(6, 5, a1)], sanction=[reduce_300(c1)], clock=0, time=2013-06-13 12:30:27.832]
Position [agent=a3, id=null, cell=Cell [x=11, y=14], time=2013-06-13 12:30:34.489, clock=284]
